budget,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,clean_title,is_adaptation,Name,Authors,book_rating,primary_genre
140000000,http://movies.disney.com/the-bfg,267935,"[{""id"": 212, ""name"": ""london england""}, {""id"": 392, ""name"": ""england""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 2011, ""name"": ""queen""}, {""id"": 12663, ""name"": ""little girl""}, {""id"": 13014, ""name"": ""orphan""}, {""id"": 14895, ""name"": ""cannibal""}, {""id"": 189099, ""name"": ""giant""}, {""id"": 227364, ""name"": ""evil brother""}]",en,The BFG,"The BFG is no ordinary bone-crunching giant. He is far too nice and jumbly. It's lucky for Sophie that he is. Had she been carried off in the middle of the night by the Bloodbottler, or any of the other giants—rather than the BFG—she would have soon become breakfast. When Sophie hears that the giants are flush-bunking off to England to swollomp a few nice little chiddlers, she decides she must stop them once and for all. And the BFG is going to help her!",44.19092,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Reliance Entertainment"", ""id"": 7294}, {""name"": ""Kennedy/Marshall Company, The"", ""id"": 7383}, {""name"": ""Walden Media"", ""id"": 10221}]","[{""iso_3166_1"": ""IN"", ""name"": ""India""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016-06-01,183345589,120.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The world is more giant than you can imagine.,The BFG,6.0,1000,the bfg,True,The BFG,Roald Dahl,4.23,Adventure
135000000,http://www.foxmovies.com/movies/the-revenant,281957,"[{""id"": 494, ""name"": ""father son relationship""}, {""id"": 570, ""name"": ""rape""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 1262, ""name"": ""mountains""}, {""id"": 1442, ""name"": ""winter""}, {""id"": 2522, ""name"": ""grizzly bear""}, {""id"": 3593, ""name"": ""wilderness""}, {""id"": 9454, ""name"": ""frontier""}, {""id"": 9748, ""name"": ""revenge""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 10322, ""name"": ""native american""}, {""id"": 10349, ""name"": ""survival""}, {""id"": 10468, ""name"": ""bear""}, {""id"": 10794, ""name"": ""snow""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 157164, ""name"": ""animal death""}, {""id"": 158175, ""name"": ""bear attack""}, {""id"": 159138, ""name"": ""death of son""}, {""id"": 185722, ""name"": ""based on true events""}, {""id"": 194976, ""name"": ""fur trapper""}]",en,The Revenant,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",100.635882,"[{""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Appian Way"", ""id"": 562}, {""name"": ""CatchPlay"", ""id"": 8870}, {""name"": ""Anonymous Content"", ""id"": 10039}, {""name"": ""New Regency Pictures"", ""id"": 10104}, {""name"": ""Hong Kong Alpha Motion Pictures Co."", ""id"": 13796}, {""name"": ""RatPac Entertainment"", ""id"": 28732}, {""name"": ""M Productions"", ""id"": 52660}, {""name"": ""Monarchy Enterprises S.a.r.l."", ""id"": 77845}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}, {""iso_3166_1"": ""TW"", ""name"": ""Taiwan""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-12-25,532950503,156.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,"(n. One who has returned, as if from the dead.)",The Revenant,7.3,6396,the revenant,True,The Revenant,Alyce Stevens Rohrer,0.0,Western
125000000,http://www.sonypictures.com/homevideo/thedavincicode/index.html,591,"[{""id"": 90, ""name"": ""paris""}, {""id"": 113, ""name"": ""holy grail""}, {""id"": 186, ""name"": ""christianity""}, {""id"": 345, ""name"": ""monk""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 1222, ""name"": ""zurich""}, {""id"": 2908, ""name"": ""secret society""}, {""id"": 2966, ""name"": ""louvre""}, {""id"": 2969, ""name"": ""curator""}, {""id"": 2970, ""name"": ""symbologist""}, {""id"": 2975, ""name"": ""opus dei""}, {""id"": 2976, ""name"": ""heresy""}, {""id"": 2978, ""name"": ""mona lisa""}, {""id"": 4008, ""name"": ""freemason""}, {""id"": 10410, ""name"": ""conspiracy""}, {""id"": 11855, ""name"": ""pentagram""}, {""id"": 156081, ""name"": ""tomb""}, {""id"": 161207, ""name"": ""catholicism""}, {""id"": 161507, ""name"": ""cryptologist""}, {""id"": 161508, ""name"": ""iconography""}, {""id"": 163531, ""name"": ""albino""}, {""id"": 173162, ""name"": ""sect""}]",en,The Da Vinci Code,"When the curator of the Louvre is found murdered in the famed museum's hallowed halls, Harvard professor, Robert Langdon and cryptographer, Sophie Neve must untangle a deadly web of deceit involving the works of Leonardo da Vinci.",45.313197,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""Skylark Productions"", ""id"": 8253}, {""name"": ""Government of Malta"", ""id"": 19927}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""MT"", ""name"": ""Malta""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",2006-05-17,767820459,149.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""la"", ""name"": ""Latin""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,Seek the truth.,The Da Vinci Code,6.5,2704,the da vinci code,True,The Da Vinci Code,Dan Brown,3.85,Thriller
120000000,,2048,"[{""id"": 236, ""name"": ""suicide""}, {""id"": 310, ""name"": ""artificial intelligence""}, {""id"": 312, ""name"": ""man vs machine""}, {""id"": 520, ""name"": ""chicago""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 1701, ""name"": ""hero""}, {""id"": 2964, ""name"": ""future""}, {""id"": 3703, ""name"": ""law""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 6149, ""name"": ""police""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 14544, ""name"": ""robot""}, {""id"": 209714, ""name"": ""3d""}, {""id"": 220903, ""name"": ""humanoid robot""}]",en,"I, Robot","In 2035, where robots are common-place and abide by the three laws of robotics, a techno-phobic cop investigates an apparent suicide. Suspecting that a robot may be responsible for the death, his investigation leads him to believe that humanity may be in danger.",95.914473,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Laurence Mark Productions"", ""id"": 415}, {""name"": ""Davis Entertainment"", ""id"": 1302}, {""name"": ""Overbrook Entertainment"", ""id"": 12485}, {""name"": ""Mediastream Vierte Film GmbH & Co. Vermarktungs KG"", ""id"": 19354}, {""name"": ""Canlaws Productions"", ""id"": 19355}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",2004-07-15,347234916,115.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Laws are made to be broken.,"I, Robot",6.7,3793,"i, robot",True,"I, Robot",Isaac Asimov,4.2,Action
133000000,,10137,"[{""id"": 380, ""name"": ""brother brother relationship""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 977, ""name"": ""cat""}, {""id"": 2161, ""name"": ""mouse""}, {""id"": 2393, ""name"": ""adoption""}, {""id"": 6783, ""name"": ""orphanage""}, {""id"": 7714, ""name"": ""step brother""}, {""id"": 9963, ""name"": ""kids and family""}, {""id"": 10064, ""name"": ""new york city twin towers""}, {""id"": 13142, ""name"": ""gangster""}]",en,Stuart Little,"The adventures of a heroic and debonair stalwart mouse named Stuart Little with human qualities, who faces some comic misadventures while searching for his lost bird friend and living with a human family as their child.",30.475297,"[{""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Global Medien KG"", ""id"": 5555}, {""name"": ""Franklin/Waterman Productions"", ""id"": 58331}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-12-17,300135367,84.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Little Family Just Got Bigger,Stuart Little,5.8,959,stuart little,True,Stuart Little,E.B. White,3.89,Animation
105000000,http://disney.go.com/disneypictures/princessandthefrog/,10198,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 3392, ""name"": ""voodoo""}, {""id"": 5091, ""name"": ""kiss""}, {""id"": 7376, ""name"": ""princess""}, {""id"": 10336, ""name"": ""animation""}, {""id"": 155180, ""name"": ""cajun""}, {""id"": 178902, ""name"": ""firefly""}, {""id"": 179411, ""name"": ""based on fairy tale""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 181329, ""name"": ""big dreams""}, {""id"": 192995, ""name"": ""frog prince""}, {""id"": 197935, ""name"": ""charlatan""}]",en,The Princess and the Frog,"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to do face the same problem after she kisses him.",62.479574,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Walt Disney Animation Studios"", ""id"": 6125}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-12-08,267045765,97.0,"[{""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Every Love Story Begins With a Kiss...,The Princess and the Frog,6.7,1247,the princess and the frog,True,The Princess and the Frog,Will Eisner,3.33,Romance
100000000,,10545,"[{""id"": 90, ""name"": ""paris""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 934, ""name"": ""judge""}, {""id"": 1523, ""name"": ""obsession""}, {""id"": 1691, ""name"": ""dance""}, {""id"": 1938, ""name"": ""sword""}, {""id"": 2422, ""name"": ""mockery""}, {""id"": 2544, ""name"": ""ugliness""}, {""id"": 2638, ""name"": ""cathedral""}, {""id"": 4344, ""name"": ""musical""}, {""id"": 5090, ""name"": ""fool""}, {""id"": 9995, ""name"": ""bell""}, {""id"": 11001, ""name"": ""religion""}, {""id"": 13014, ""name"": ""orphan""}, {""id"": 158787, ""name"": ""army captain""}, {""id"": 160213, ""name"": ""festival""}, {""id"": 160274, ""name"": ""angry mob""}, {""id"": 177894, ""name"": ""witch hunt""}, {""id"": 213097, ""name"": ""15th century""}]",en,The Hunchback of Notre Dame,"When Quasi defies the evil Frollo and ventures out to the Festival of Fools, the cruel crowd jeers him. Rescued by fellow outcast the gypsy Esmeralda, Quasi soon finds himself battling to save the people and the city he loves.",46.727941,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1996-06-21,100138851,91.0,"[{""iso_639_1"": ""la"", ""name"": ""Latin""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,The Hunchback of Notre Dame,6.8,1129,the hunchback of notre dame,True,The Hunchback of Notre Dame,Victor Hugo,4.0,Drama
140000000,,9016,"[{""id"": 679, ""name"": ""cyborg""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 1826, ""name"": ""space marine""}, {""id"": 1860, ""name"": ""mutiny""}, {""id"": 1872, ""name"": ""loss of father""}, {""id"": 1969, ""name"": ""map""}, {""id"": 4418, ""name"": ""pirate gang""}, {""id"": 6956, ""name"": ""treasure hunt""}, {""id"": 9736, ""name"": ""little boy""}, {""id"": 9882, ""name"": ""space""}, {""id"": 9951, ""name"": ""alien""}, {""id"": 10336, ""name"": ""animation""}, {""id"": 10594, ""name"": ""money""}, {""id"": 11088, ""name"": ""treasure map""}, {""id"": 13194, ""name"": ""planet""}, {""id"": 156316, ""name"": ""troubled teen""}, {""id"": 196483, ""name"": ""space pirate""}]",en,Treasure Planet,"When space galleon cabin boy Jim Hawkins discovers a map to an intergalactic ""loot of a thousand worlds,"" a cyborg cook named John Silver teaches him to battle supernovas and space storms. But, soon, Jim realizes Silver is a pirate intent on mutiny!",38.924136,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Walt Disney Feature Animation"", ""id"": 10217}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-11-26,109578115,95.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Find your place in the universe.,Treasure Planet,7.2,948,treasure planet,True,Treasure Planet,Nathan Elliott,3.67,Adventure
90000000,http://www.warnerbros.com/contact,686,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 1432, ""name"": ""nasa""}, {""id"": 1508, ""name"": ""new mexico""}, {""id"": 1603, ""name"": ""extraterrestrial technology""}, {""id"": 2846, ""name"": ""prime number""}, {""id"": 3412, ""name"": ""star""}, {""id"": 3416, ""name"": ""radio wave""}, {""id"": 3417, ""name"": ""wormhole""}, {""id"": 3419, ""name"": ""fanatic""}, {""id"": 10706, ""name"": ""spirituality""}, {""id"": 11001, ""name"": ""religion""}, {""id"": 14760, ""name"": ""scientist""}, {""id"": 15246, ""name"": ""sabotage""}, {""id"": 159961, ""name"": ""ham radio""}, {""id"": 160515, ""name"": ""alien contact""}, {""id"": 162356, ""name"": ""mechanical engineering""}, {""id"": 162357, ""name"": ""observatory""}, {""id"": 226028, ""name"": ""eccentric man""}, {""id"": 226240, ""name"": ""radio telescope""}]",en,Contact,"Contact is a science fiction film about an encounter with alien intelligence. Based on the novel by Carl Sagan the film starred Jodie Foster as the one chosen scientist who must make some difficult decisions between her beliefs, the truth, and reality.",55.249434,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""South Side Amusement Company"", ""id"": 43910}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-07-11,171120329,150.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"If it's just us, it seems like an awful waste of space.",Contact,7.2,1308,contact,True,Contact,Sam Taylor-Wood,4.0,Drama
85000000,http://www.fox.co.uk/jumper,8247,"[{""id"": 704, ""name"": ""adolescence""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 1452, ""name"": ""loss of child""}, {""id"": 1721, ""name"": ""fight""}, {""id"": 3713, ""name"": ""chase""}, {""id"": 3822, ""name"": ""teleportation""}, {""id"": 4769, ""name"": ""supernatural powers""}, {""id"": 4820, ""name"": ""leap in time""}, {""id"": 4986, ""name"": ""enemy""}, {""id"": 6170, ""name"": ""motherly love""}]",en,Jumper,"David Rice is a man who knows no boundaries, a Jumper, born with the uncanny ability to teleport instantly to anywhere on Earth. When he discovers others like himself, David is thrust into a dangerous and bloodthirsty war while being hunted by a sinister and determined group of zealots who have sworn to destroy all Jumpers. Now, David’s extraordinary gift may be his only hope for survival!",21.218,"[{""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Hypnotic"", ""id"": 7384}, {""name"": ""New Regency Pictures"", ""id"": 10104}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-02-10,222231186,88.0,"[{""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,anywhere is possible.,Jumper,5.9,1799,jumper,True,Jumper,Michele Martin Bossley,3.93,Adventure
80000000,http://www.shutterisland.com/,11324,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 2041, ""name"": ""island""}, {""id"": 2215, ""name"": ""hurricane""}, {""id"": 5340, ""name"": ""investigation""}, {""id"": 10323, ""name"": ""psychiatric hospital""}, {""id"": 11207, ""name"": ""u.s. marshal""}, {""id"": 11208, ""name"": ""conspiracy theory""}, {""id"": 208611, ""name"": ""1950s""}]",en,Shutter Island,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by his troubling visions and also by a mysterious doctor.",81.914696,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Appian Way"", ""id"": 562}, {""name"": ""Phoenix Pictures"", ""id"": 11317}, {""name"": ""Sikelia Productions"", ""id"": 23243}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-02-18,294804195,138.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Released,Someone is missing.,Shutter Island,7.8,6336,shutter island,True,Shutter Island,Dennis Lehane,4.09,Drama
80000000,,11618,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 2754, ""name"": ""trauma""}, {""id"": 3098, ""name"": ""castle""}, {""id"": 3358, ""name"": ""haunted house""}, {""id"": 4142, ""name"": ""insomnia""}, {""id"": 4479, ""name"": ""bone""}, {""id"": 5374, ""name"": ""poster""}, {""id"": 5918, ""name"": ""painting""}, {""id"": 9714, ""name"": ""remake""}, {""id"": 10224, ""name"": ""haunting""}, {""id"": 33587, ""name"": ""child labor""}, {""id"": 154901, ""name"": ""audio recording""}, {""id"": 155811, ""name"": ""spiral staircase""}, {""id"": 156075, ""name"": ""evil""}, {""id"": 167104, ""name"": ""loner""}, {""id"": 169816, ""name"": ""researcher""}, {""id"": 172801, ""name"": ""insomniac""}, {""id"": 172808, ""name"": ""paranormal activity""}, {""id"": 172812, ""name"": ""logbook""}, {""id"": 172815, ""name"": ""\u00a0strange noise""}, {""id"": 172816, ""name"": ""spook""}, {""id"": 172822, ""name"": ""cherub""}]",en,The Haunting,"Dr. David Marrow invites Nell Vance, and Theo and Luke Sanderson to the eerie and isolated Hill House to be subjects for a sleep disorder study. The unfortunate guests discover that Marrow is far more interested in the sinister mansion itself – and they soon see the true nature of its horror.",19.375768,"[{""name"": ""DreamWorks"", ""id"": 7}, {""name"": ""Roth-Arnold Productions"", ""id"": 1560}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-07-23,91188905,113.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Some houses are born bad.,The Haunting,5.2,369,the haunting,True,The Haunting,Joan Lowery Nixon,3.69,Horror
44000000,,5491,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 4458, ""name"": ""post-apocalyptic""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 6015, ""name"": ""mining""}, {""id"": 9878, ""name"": ""fighter jet""}, {""id"": 14909, ""name"": ""alien invasion""}, {""id"": 159314, ""name"": ""scientology""}, {""id"": 159955, ""name"": ""cavemen""}, {""id"": 208997, ""name"": ""bureaucrat""}, {""id"": 213987, ""name"": ""city ruin""}]",en,Battlefield Earth,"In the year 3000, man is no match for the Psychlos, a greedy, manipulative race of aliens on a quest for ultimate profit. Led by the powerful Terl, the Psychlos are stripping Earth clean of its natural resources, using the broken remnants of humanity as slaves. What is left of the human race has descended into a near primitive state. After being captured, it is up to Tyler to save mankind.",7.89147,"[{""name"": ""Franchise Pictures"", ""id"": 1403}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""JTP Films"", ""id"": 7406}, {""name"": ""Morgan Creek Productions"", ""id"": 10210}, {""name"": ""Battlefield Productions"", ""id"": 19718}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-05-10,21400000,118.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,Take Back The Planet,Battlefield Earth,3.0,255,battlefield earth,True,Battlefield Earth,L. Ron Hubbard,3.46,Action
70000000,http://www.stardustmovie.com,2270,"[{""id"": 616, ""name"": ""witch""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 1605, ""name"": ""new love""}, {""id"": 3071, ""name"": ""prince""}, {""id"": 3258, ""name"": ""beauty""}, {""id"": 3412, ""name"": ""star""}, {""id"": 4152, ""name"": ""kingdom""}, {""id"": 4372, ""name"": ""wall""}, {""id"": 6998, ""name"": ""falling star""}, {""id"": 9920, ""name"": ""royalty""}, {""id"": 10048, ""name"": ""unrequited love""}, {""id"": 10842, ""name"": ""good vs evil""}, {""id"": 170771, ""name"": ""fratricide""}]",en,Stardust,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm. His journey takes him into a world beyond his wildest dreams and reveals his true identity.",48.032734,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Di Bonaventura Pictures"", ""id"": 435}, {""name"": ""Marv Films"", ""id"": 5374}, {""name"": ""Vaughn Productions"", ""id"": 23420}]","[{""iso_3166_1"": ""IS"", ""name"": ""Iceland""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-08-09,135560026,127.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,This Summer A Star Falls. The Chase Begins.,Stardust,7.1,1184,stardust,True,Stardust,Neil Gaiman,4.09,Adventure
70000000,http://wwws.warnerbros.co.uk/bodyoflies/,12113,"[{""id"": 321, ""name"": ""terror""}, {""id"": 769, ""name"": ""falsely accused""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 3737, ""name"": ""dying and death""}, {""id"": 6292, ""name"": ""jordan""}, {""id"": 9145, ""name"": ""dubai""}, {""id"": 9846, ""name"": ""intelligence agency""}, {""id"": 9849, ""name"": ""beating""}]",en,Body of Lies,"The CIA’s hunt is on for the mastermind of a wave of terrorist attacks. Roger Ferris is the agency’s man on the ground, moving from place to place, scrambling to stay ahead of ever-shifting events. An eye in the sky – a satellite link – watches Ferris.  At the other end of that real-time link is the CIA’s Ed Hoffman, strategizing events from thousands of miles away. And as Ferris nears the target, he discovers trust can be just as dangerous as it is necessary for survival.",37.507136,"[{""name"": ""Scott Free Productions"", ""id"": 1645}, {""name"": ""De Line Pictures"", ""id"": 2609}, {""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",2008-10-10,113280098,128.0,"[{""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Trust no one. Deceive everyone.,Body of Lies,6.5,895,body of lies,True,Body of Lies,David Ignatius,3.74,Action
60000000,http://marleyandmemovie.com/,14306,"[{""id"": 736, ""name"": ""journalist""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 8841, ""name"": ""puppy""}, {""id"": 15162, ""name"": ""dog""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 209064, ""name"": ""columnist""}, {""id"": 230873, ""name"": ""animal lead""}]",en,Marley & Me,"A newly married couple who, in the process of starting a family, learn many of life's important lessons from their trouble-loving retriever, Marley. Packed with plenty of laughs to lighten the load, the film explores the highs and lows of marriage, maturity and confronting one's own mortality, as seen through the lens of family life with a dog.",30.951203,"[{""name"": ""Sunswept Entertainment"", ""id"": 5219}, {""name"": ""Dune Entertainment III"", ""id"": 6332}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-12-25,244082376,115.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Heel the love.,Marley & Me,6.9,1343,marley & me,True,Marley & Me,John Grogan,4.14,Comedy
60000000,http://thegreenmile.warnerbros.com/,497,"[{""id"": 531, ""name"": ""southern usa""}, {""id"": 577, ""name"": ""black people""}, {""id"": 791, ""name"": ""mentally disabled""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 2499, ""name"": ""heal""}, {""id"": 2501, ""name"": ""death row""}, {""id"": 2881, ""name"": ""jail guard""}, {""id"": 5571, ""name"": ""great depression""}, {""id"": 9774, ""name"": ""prison guard""}, {""id"": 11263, ""name"": ""electric chair""}, {""id"": 156597, ""name"": ""magic realism""}, {""id"": 167696, ""name"": ""healing""}, {""id"": 180162, ""name"": ""death row inmate""}, {""id"": 214548, ""name"": ""1930s""}]",en,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cellblock's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",103.698022,"[{""name"": ""Castle Rock Entertainment"", ""id"": 97}, {""name"": ""Darkwoods Productions"", ""id"": 3982}, {""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-12-10,284600000,189.0,"[{""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Miracles do happen.,The Green Mile,8.2,4048,the green mile,True,The Green Mile,Stephen King,4.45,Fantasy
60000000,,2275,"[{""id"": 236, ""name"": ""suicide""}, {""id"": 703, ""name"": ""detective""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 910, ""name"": ""bondage""}, {""id"": 1402, ""name"": ""general""}, {""id"": 2340, ""name"": ""paranoia""}, {""id"": 2483, ""name"": ""nudity""}, {""id"": 4595, ""name"": ""u.s. army""}, {""id"": 5340, ""name"": ""investigation""}, {""id"": 6078, ""name"": ""politics""}, {""id"": 9665, ""name"": ""cover-up""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 10085, ""name"": ""betrayal""}, {""id"": 10410, ""name"": ""conspiracy""}, {""id"": 12365, ""name"": ""gang rape""}, {""id"": 15300, ""name"": ""father daughter relationship""}, {""id"": 177185, ""name"": ""videotape""}, {""id"": 227890, ""name"": ""military law""}]",en,The General's Daughter,"When the body of Army Capt. Elizabeth Campbell is found on a Georgia military base, two investigators, Warrant Officers Paul Brenner and Sara Sunhill, are ordered to solve her murder. What they uncover is anything but clear-cut. Unseemly details emerge about Campbell's life, leading to allegations of a possible military coverup of her death and the involvement of her father, Lt. Gen. Joseph Campbell.",18.345613,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""MFP Munich Film Partners GmbH & Company I. Produktions KG"", ""id"": 21409}, {""name"": ""Krane Entertainment"", ""id"": 25358}, {""name"": ""Neufeld Rehme Productions"", ""id"": 38005}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-06-18,149705852,116.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Go behind the lies.,The General's Daughter,6.1,205,the general's daughter,True,The General's Daughter,Nelson DeMille,4.08,Crime
